fib 17500
fib 7100
fib 5000
fib 9200
fib 3200
fib 2800
fib 4100
fib 3600
fib 2600
fib 2600
fib 2700
fib 2600
fib 2900
fib 4000
fib 2900
fib 3600
fib 7000
fib 3600
fib 2600
fib 2600
fib 2700
fib 2500
fib 3700
fib 3600
fib 3700
fib 3500
fib 3800
fib 2600
fib 3700
fib 3500
fib 2600
fib 3700
fib 2700
fib 2600
fib 2600
fib 2500
fib 3800
fib 3400
fib 3400
fib 3600
fib 2600
fib 2800
fib 2600
fib 3600
fib 3600
fib 2600
fib 2500
fib 2700
fib 3700
fib 2500
fib 2500
fib 6200
fib 4500
fib 3600
fib 3500
fib 2600
fib 3800
fib 3000
fib 4000
fib 3800
fib 4300
fib 2800
fib 2700
fib 2400
fib 2400
fib 2300
fib 2400
fib 2400
fib 3800
fib 3300
fib 2300
fib 3300
fib 2300
fib 3700
fib 2400
fib 3200
fib 2800
fib 3400
fib 3200
fib 3300
fib 2200
fib 2400
fib 3700
fib 3400
fib 2300
fib 2800
fib 5000
fib 3000
fib 3400
fib 2300
fib 3400
fib 2800
fib 3500
fib 2300
fib 2300
fib 2300
fib 2600
fib 2500
fib 2300
fib 2300
fib 2400
fib 2400
fib 3300
fib 3700
fib 2300
fib 2300
fib 2400
fib 3300
fib 3700
fib 2300
fib 2300
fib 3300
fib 3300
fib 3800
fib 2800
fib 3700
fib 2300
fib 2300
fib 2300
fib 3300
fib 2400
fib 6300
fib 3000
fib 2300
fib 2300
fib 2300
fib 2700
fib 3200
fib 2600
fib 3800
fib 2700
fib 2600
fib 2700
fib 2700
fib 2300
fib 3400
fib 2300
fib 2300
fib 2600
fib 5400
fib 2300
fib 3400
fib 3900
fib 2500
fib 3700
fib 2600
fib 3800
fib 2300
fib 2300
fib 3600
fib 3800
fib 2700
fib 3700
fib 3700
fib 2700
fib 2700
fib 6700
fib 3300
fib 3700
fib 2700
fib 2700
fib 3800
fib 2700
fib 2600
fib 2700
fib 2700
fib 3700
fib 2700
fib 2700
fib 2700
fib 2600
fib 2700
fib 3000
fib 2800
fib 3400
fib 2300
fib 2400
fib 3300
fib 2800
fib 2400
fib 2400
fib 2300
fib 3400
fib 2200
fib 2900
fib 2700
fib 3700
fib 2300
fib 3300
fib 2500
fib 2300
fib 5200
fib 3300
fib 2400
fib 2300
fib 2400
fib 3300
fib 3800
fib 2400
fib 2900
