
Silnia 987
10442
11119
10146
3105
3163
3166
3110
3068
3376
3571

Silnia 9987
106186
107591
106647
45136
45002
45062
44985
45309
45002
45494

Silnia 96987
441882
435591
441508
435990
447687
444626
421234
411828
427466
410580

Silnia 496987
1.63988e+06
1.6879e+06
1.68619e+06
1.70698e+06
1.71028e+06
1.7069e+06
1.71418e+06
1.71009e+06
1.71492e+06
1.71233e+06

Silnia 996987
1.07011e+07
9.08299e+06
5.80918e+06
4.48455e+06
3.82436e+06
3.4111e+06
3.185e+06
3.01804e+06
2.92367e+06
2.73116e+06
